Key,Summary,Assignee,Comments,Created,Creator,Description,Due,Labels,Last Viewed,Links,P,Parent,Project,Reporter,Resolution,Resolved,Sprint,Start date,Status,Status Category,Status Category Changed,Story point estimate,Sub-Tasks,T,Updated,Watches
ERICK-15,"Set up a GitHub repository with necessary project documentation and ""empty Android activity""",Vatsal Unadkat,0,24/Feb/2026,Adi,"Create the project's GitHub repository, initialise a Kotlin + Jetpack Compose 'Empty Activity' project, and push it to the main branch with basic protections in place.

Acceptance Criteria:

* Repository created and accessible to all team members
* Empty Android Activity compiles and runs on API 33+ emulator with zero errors
* README stub present with project name and team information
* main branch protection enabled (no direct pushes)",27/Feb/2026,,26/Feb/2026 18:02,,High,ERICK-39 Project Infrastructure (Epic),ERICK - Agile Methods,Adi,Done,26/Feb/2026,SCRUM Sprint 1,,Done,Done,26/Feb/2026,1,,Task,26/Feb/2026,1
ERICK-16,Set up Android Studio development environment with Kotlin and Jetpack Compose,Vatsal Unadkat,0,24/Feb/2026,Adi,"Configure the standard development environment that all Android developers on the project will use, ensuring consistent tooling and dependency versions.

Acceptance Criteria:

* Android Studio installed and configured
* Kotlin version and Compose BOM version pinned in build.gradle
* Virtual device set up and running
* Project builds and launches successfully on the emulator
* All code pushed to GitHub",27/Feb/2026,,26/Feb/2026 18:03,,High,ERICK-39 Project Infrastructure (Epic),ERICK - Agile Methods,Adi,Done,26/Feb/2026,SCRUM Sprint 1,,Done,Done,26/Feb/2026,2,,Task,26/Feb/2026,1
ERICK-20,Design keyboard UI layouts in Figma for the MVP,Angeliki Paneri,3,24/Feb/2026,Xingxing Yang,"Translate the keyboard layout research into a complete Figma design covering all interaction states. Produce two layout variants to support different user needs.

Acceptance Criteria:

* Research paper on chord keyboard layout reviewed and referenced
* Layout translated into Figma (or similar tool) with all interaction states: idle, active, and confirmed
* Character, number, and utility symbol positions labelled on each sector
* Colour palette and visual style defined
* Two layout variants designed: one optimised for accessibility (logical grouping), one optimised for typing speed (frequency-based)
* Figma file URL shared in the project README
* Documentation started for screens, layouts, and use-case specifications



Extra: Design 2 layouts, one for mental disabilities (logical), and another for efficiency (fastest)",27/Feb/2026,Group_2,26/Feb/2026 18:13,,Medium,ERICK-42 Keyboard UI & Visual Design (Epic),ERICK - Agile Methods,Xingxing Yang,Done,27/Feb/2026,SCRUM Sprint 1,25/Feb/2026,Done,Done,27/Feb/2026,5,"ERICK-29, ERICK-30, ERICK-31, ERICK-32, ERICK-33, ERICK-45, ERICK-46",Task,27/Feb/2026,2
ERICK-19,Research about the libraries that help in simulate/emulate the joystick functionality in Android. (1.⁠ ⁠Research Team),Khair Muhammad,1,24/Feb/2026,Khair Muhammad,"Survey open-source Android libraries that support joystick-style or radial dial touch input. 

Acceptance Criteria:

* Each library assessed on: open-source licence, compatibility with latest Android build, ability to output raw angle in degrees, support for custom sector boundaries, and active maintenance
* No licence conflicts with the project
* Recommended library identified with clear justification
* Try setting constraints and providing input",27/Feb/2026,Group_1,27/Feb/2026 14:34,,Medium,ERICK-41 Android IME Core (Epic),ERICK - Agile Methods,Khair Muhammad,Done,27/Feb/2026,SCRUM Sprint 1,25/Feb/2026,Done,Done,27/Feb/2026,5,,Task,27/Feb/2026,2
ERICK-22,Research typing game concepts compatible with chord-based keyboard input,Adi,3,24/Feb/2026,Xingxing Yang,"Study existing typing and spelling games to identify mechanics that translate well to chord input and would help users learn the radial dial keyboard. Produce a game concept brief.

Acceptance Criteria:

* At least 3 typing or spelling game examples documented (e.g. Chef's Shift, TypeRacer, Ztype)
* Each example annotated with its core mechanic and suitability for chord input
* Concept brief includes rough screen sketches or low-fidelity Figma frames
* Open-source game options noted for potential code/structure reference
* Brief committed to docs



Pointer:

* Games that teach people how to type fast/efficient (5-6 examples);
* Try finding an open source game, to look at the file structure/code/Kotlin?",27/Feb/2026,Group_2,27/Feb/2026 20:42,ERICK-27,High,ERICK-43 Game Development (Epic),ERICK - Agile Methods,Xingxing Yang,,,SCRUM Sprint 1,25/Feb/2026,In Progress,In Progress,25/Feb/2026,5,"ERICK-36, ERICK-37, ERICK-38",Task,26/Feb/2026,3
ERICK-27,Scout and catalogue open-source Godot-compatible game assets,Nazgul Engvall,3,24/Feb/2026,Adi,"Find CC0 or MIT-licensed 2D art, sound effects, and fonts that suit the chosen game concept and are compatible with Godot. Import them into the project's asset folder.

Acceptance Criteria:

* Assets catalogued (sprites, backgrounds, SFX, fonts)
* All assets confirmed open-source with licence noted
* Assets cover approximately 30% - 50% of what the first prototype will need",27/Feb/2026,,27/Feb/2026 10:11,ERICK-22,Medium,ERICK-43 Game Development (Epic),ERICK - Agile Methods,Adi,Done,27/Feb/2026,SCRUM Sprint 1,,Done,Done,27/Feb/2026,3,,Task,27/Feb/2026,2
ERICK-23,Implement minimal IME with two buttons that register as system keyboard,Xingxing Yang,0,24/Feb/2026,Xingxing Yang,"Build an Android InputMethodService that displays two large buttons labelled '1' and '2'. Tapping each button injects the corresponding digit into any focused text field across the whole OS.

Acceptance Criteria:

* Service declared in AndroidManifest with the correct BIND_INPUT_METHOD permission and intent-filter
* Keyboard appears in Settings → Language & Input → Manage keyboards
* Custom keyboard can be set as the system default
* Tapping '1' or '2' inserts the correct digit in any app (e.g. Chrome, Messages)
* Keyboard shows and hides correctly when a text field gains or loses focus
* Tested on both an emulator and a physical device (API 33+)",27/Feb/2026,Group_4,27/Feb/2026 16:04,,Medium,ERICK-41 Android IME Core (Epic),ERICK - Agile Methods,Xingxing Yang,Done,27/Feb/2026,SCRUM Sprint 1,25/Feb/2026,Done,Done,27/Feb/2026,6,,Task,27/Feb/2026,1
ERICK-25,Add text field to the app for local IME testing,Vilgot Mattsson,0,24/Feb/2026,Adi,"Add a simple Activity to the app with a single text field at the top of the screen. This gives developers a quick local surface for testing the IME without needing to switch to another app.

Acceptance Criteria:

* Text field is visible immediately when the app is launched
* Tapping the text field triggers the custom IME
* Characters typed via the IME appear correctly in the field
* No crashes on back-press or screen rotation",27/Feb/2026,,27/Feb/2026 14:36,,Medium,ERICK-41 Android IME Core (Epic),ERICK - Agile Methods,Adi,Done,27/Feb/2026,SCRUM Sprint 1,25/Feb/2026,Done,Done,27/Feb/2026,2,,Task,27/Feb/2026,1
ERICK-21,Create project documentation templates and update GitHub README,Angeliki Paneri,1,24/Feb/2026,Xingxing Yang,"Set up the living documentation structure for the project. Templates should be empty but properly structured so future sprints can fill them in incrementally.

Acceptance Criteria:

* GitHub README updated with project overview, tech stack, team info, and links to all docs
* Templates created for:
** UI/UX Design Specifications (wireframes, mockups, interaction flows)
** Gesture Design Document (chord patterns, swipe gestures, character mappings)
** System Architecture Document (components, data flow, how systems interact)
** Research Notes (chorded keyboards, gesture recognition, user ergonomics)
** Accessibility Considerations
** Performance Benchmarks (latency, gesture recognition accuracy)
* Each template has clearly defined sections, placeholder text, and a 'Last Updated' field
* All templates committed to GitHub



For now just add templets of the documents as we do not have all the information. We will fill in the documents  in the later sprints.",27/Feb/2026,Group_2,27/Feb/2026 10:08,,Medium,ERICK-39 Project Infrastructure (Epic),ERICK - Agile Methods,Xingxing Yang,Done,27/Feb/2026,SCRUM Sprint 1,,Done,Done,27/Feb/2026,3,ERICK-28,Task,27/Feb/2026,2
9,,,,,,,,,,,,,,,,,,,,,,32,,,,15
Created at 28/Feb/26 4:49 pm by Vatsal Unadkat with Better Excel Exporter for Jira Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
help »,,,,,,,,,,,,,,,,,,,,,,,,,,
